Hour;Pin_MPa;Tin_C;Target_hour;Q_fact;Deviation;Nst_GPA1;Nst_GPA2;Nst_GPA3;Npol_GPA1;Npol_GPA2;Npol_GPA3;Qprod_GPA1;Qprod_GPA2;Qprod_GPA3;Qprod_total;q_term;f_term;b_term;constraint_term;total_cost;Fuel_total_kg_h
0;5.220;22.0;100.00;64.03;-2335.97;5162;5281;5094;1.264;1.273;1.273;22.33;20.90;20.80;64.03;646927.18;19.33;7.33;0.00;646953.84;19.33
1;5.215;22.0;101.56;87.57;-2248.40;5861;5970;5704;1.289;1.293;1.292;31.50;28.37;27.71;87.57;97901.53;25.35;41.00;0.00;97967.88;25.35
2;5.306;22.0;102.20;102.09;-2146.31;6164;6546;6400;1.294;1.296;1.295;35.10;33.23;33.76;102.09;6.05;32.43;9.24;0.00;47.72;32.43
3;5.437;22.0;102.21;102.20;-2044.11;6079;6657;6451;1.293;1.295;1.295;34.13;33.97;34.10;102.20;0.03;32.89;0.07;0.00;32.99;32.89
4;5.491;22.0;102.21;102.20;-1941.91;6078;6658;6452;1.293;1.295;1.295;34.12;33.98;34.11;102.20;0.00;32.90;0.06;0.00;32.96;32.90
5;5.635;22.0;102.21;102.20;-1839.70;6080;6664;6442;1.293;1.295;1.295;34.15;34.02;34.04;102.20;0.00;32.89;0.05;0.00;32.94;32.89
6;5.863;22.0;102.21;102.20;-1737.51;6080;6669;6438;1.293;1.295;1.295;34.14;34.05;34.01;102.20;0.02;32.89;0.04;0.00;32.95;32.89
7;5.986;22.0;102.21;102.19;-1635.32;6093;6692;6392;1.294;1.295;1.295;34.29;34.19;33.71;102.19;0.15;32.82;0.96;0.00;33.94;32.82
8;6.081;22.0;102.21;102.21;-1533.11;6075;6676;6441;1.293;1.295;1.295;34.09;34.09;34.03;102.21;0.00;32.92;0.01;0.00;32.93;32.92
9;6.246;22.0;102.21;102.21;-1430.90;6081;6669;6437;1.293;1.295;1.295;34.16;34.05;34.01;102.21;0.01;32.89;0.06;0.00;32.97;32.89
10;6.301;22.0;102.21;102.21;-1328.69;6071;6681;6443;1.293;1.295;1.295;34.04;34.12;34.05;102.21;0.00;32.94;0.02;0.00;32.96;32.94
11;6.361;22.0;102.21;102.21;-1226.49;6055;6667;6485;1.293;1.295;1.294;33.85;34.03;34.32;102.21;0.00;33.04;0.55;0.00;33.59;33.04
12;6.410;22.0;102.21;102.20;-1124.28;6080;6658;6448;1.293;1.295;1.295;34.15;33.98;34.08;102.20;0.02;32.89;0.07;0.00;32.98;32.89
13;6.303;22.0;102.21;102.19;-1022.09;6093;6648;6434;1.294;1.295;1.295;34.29;33.91;33.99;102.19;0.10;32.81;0.39;0.00;33.30;32.81
14;6.251;22.0;102.21;102.21;-919.89;6076;6667;6447;1.293;1.295;1.295;34.10;34.03;34.07;102.21;0.01;32.91;0.01;0.00;32.93;32.91
15;6.202;22.0;102.21;102.18;-817.71;6068;6619;6506;1.293;1.295;1.294;34.00;33.73;34.45;102.18;0.57;32.97;1.31;0.00;34.85;32.97
16;6.059;22.0;102.21;102.21;-715.50;6059;6679;6466;1.293;1.295;1.295;33.90;34.11;34.20;102.21;0.03;33.01;0.23;0.00;33.28;33.01
17;5.968;22.0;102.21;102.22;-613.28;6078;6673;6442;1.293;1.295;1.295;34.12;34.07;34.04;102.22;0.05;32.92;0.02;0.00;32.99;32.92
18;5.764;22.0;102.21;102.21;-511.07;6080;6679;6431;1.293;1.295;1.295;34.14;34.11;33.97;102.21;0.00;32.90;0.08;0.00;32.98;32.90
19;5.588;22.0;102.21;102.20;-408.87;6070;6691;6434;1.293;1.295;1.295;34.03;34.19;33.99;102.20;0.09;32.95;0.11;0.00;33.14;32.95
20;5.559;22.0;102.22;102.22;-306.65;6081;6661;6447;1.293;1.295;1.295;34.15;34.00;34.07;102.22;0.00;32.90;0.06;0.00;32.96;32.90
21;5.367;22.0;102.22;102.22;-204.43;6073;6675;6447;1.293;1.295;1.295;34.06;34.09;34.07;102.22;0.01;32.94;0.00;0.00;32.95;32.94
22;5.283;22.0;102.21;102.22;-102.20;6063;6713;6429;1.293;1.294;1.295;33.95;34.32;33.96;102.22;0.05;33.01;0.44;0.00;33.51;33.01
23;5.163;22.0;102.20;102.20;-0.00;6083;6660;6441;1.293;1.295;1.295;34.18;33.99;34.03;102.20;0.00;32.87;0.10;0.00;32.97;32.87
